Instante de Tempo t,Fila de pedidos,Em produção,Prontos
0,  
1,  
2, Pedido atual:53922 Pedidos prontos: 
3, Pedido atual:53922 Pedidos prontos: 
4, Pedido atual:53922 Pedidos prontos: 
5, 26827,Pedido atual:53922 Pedidos prontos: 
6, 26827,Pedido atual:53922 Pedidos prontos: 
7, 26827,Pedido atual:53922 Pedidos prontos: 
8, 26827,Pedido atual:53922 Pedidos prontos: 
9, 26827,Pedido atual:53922 Pedidos prontos: 
10, 26827,Pedido atual:53922 Pedidos prontos: 
11, 26827,Pedido atual:53922 Pedidos prontos: 
12, 26827,29795,Pedido atual:53922 Pedidos prontos: 
13, 26827,29795,82728,49812,Pedido atual:53922 Pedidos prontos: 
14, 26827,29795,82728,49812,94493,Pedido atual:53922 Pedidos prontos: 
15, 26827,29795,82728,49812,94493,Pedido atual:53922 Pedidos prontos: 
16, 26827,29795,82728,49812,94493,Pedido atual:53922 Pedidos prontos: 
17, 26827,29795,82728,49812,94493,Pedido atual:53922 Pedidos prontos: 
18, 26827,29795,82728,49812,94493,Pedido atual:53922 Pedidos prontos: 
